"ID","Name","Type","Num_Parties","Is_Switcher"
"Maqbool_Ahmed_Lehri","Maqbool Ahmed Lehri","Candidate",1,FALSE
"Mir_Abdul_Ghafoor_Mengal","Mir Abdul Ghafoor Mengal","Candidate",1,FALSE
"Mir_Abdul_Rauf_Mengal","Mir Abdul Rauf Mengal","Candidate",1,FALSE
"Mohammad_Qasim_Roonjho","Mohammad Qasim Roonjho","Candidate",1,FALSE
"Muhamamd_Akhtar_Mengal","Muhamamd Akhtar Mengal","Candidate",1,FALSE
"Muhammad_Akhtar_Mengal","Muhammad Akhtar Mengal","Candidate",1,FALSE
"Muhammad_Akhter_Mengal","Muhammad Akhter Mengal","Candidate",1,FALSE
"Muhammad_Hashim","Muhammad Hashim","Candidate",2,TRUE
"Muhammad_Ramzan","Muhammad Ramzan","Candidate",6,TRUE
"Naib_Faqeer_Muhammad_Zahri","Naib Faqeer Muhammad Zahri","Candidate",1,FALSE
"Nawabzada_Aurangzeb_Jogezai","Nawabzada Aurangzeb Jogezai","Candidate",1,FALSE
"Sayed_Essa_Nori","Sayed Essa Nori","Candidate",1,FALSE
"Shair_Afgan","Shair Afgan","Candidate",1,FALSE
"Syed_Ahsan_Shah","Syed Ahsan Shah","Candidate",1,FALSE
"Wadera_Gulzar_Khan","Wadera Gulzar Khan","Candidate",1,FALSE
"Zahid_Hussain","Zahid Hussain","Candidate",2,TRUE
"Abdul_Jabbar","Abdul Jabbar","Candidate",3,TRUE
"Abdul_Rauf_Rind","Abdul Rauf Rind","Candidate",1,FALSE
"Ghulam_Farooq","Ghulam Farooq","Candidate",2,TRUE
"Gulam_Farooq","Gulam Farooq","Candidate",1,FALSE
"Habib_Ur_Rehman","Habib Ur Rehman","Candidate",3,TRUE
